sentence_idx,tokens,tags
15,"['Mount', 'Elbrus', 'is', 'the', 'highest', 'peak', 'in', 'Europe', 'and', 'is', 'located', 'in', 'the', 'Caucasus', 'mountain', 'range', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['Climbing', 'Mount', 'Elbrus', 'is', 'a', 'popular', 'challenge', 'for', 'mountaineers', 'around', 'the', 'world', '.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['Mont', 'Blanc', 'is', 'the', 'tallest', 'mountain', 'in', 'the', 'Alps', ',', 'standing', 'at', 'an', 'impressive', '4', ',', '809', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['Many', 'outdoor', 'enthusiasts', 'dream', 'of', 'summiting', 'Mont', 'Blanc', 'one', 'day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
19,"['Mount', 'Damavand', 'is', 'the', 'highest', 'peak', 'in', 'Iran', ',', 'standing', 'at', 'an', 'elevation', 'of', '5', ',', '609', 'meters', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Climbing', 'Mount', 'Damavand', 'is', 'a', 'popular', 'adventure', 'activity', 'for', 'hikers', 'and', 'mountaineers', 'seeking', 'a', 'challenging', 'experience', '.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['Klyuchevskaya', 'Sopka', 'is', 'the', 'highest', 'active', 'volcano', 'in', 'Eurasia', ',', 'located', 'on', 'the', 'Kamchatka', 'Peninsula', 'in', 'Russia', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['Klyuchevskaya', 'Sopka', 'is', 'also', 'known', 'for', 'its', 'frequent', 'eruptions', 'and', 'stunning', 'natural', 'beauty', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['Nanga', 'Parbat', ',', 'also', 'known', 'as', 'the', 'Killer', 'Mountain', ',', 'is', 'one', 'of', 'the', 'most', 'challenging', 'peaks', 'to', 'climb', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['Located', 'in', 'the', 'western', 'Himalayas', 'of', 'Pakistan', ',', 'Nanga', 'Parbat', 'stands', 'at', 'an', 'elevation', 'of', '8', ',', '126', 'meters', '26', ',', '660', 'feet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['Mauna', 'Kea', 'is', 'the', 'tallest', 'mountain', 'in', 'Hawaii', ',', 'reaching', 'an', 'elevation', 'of', 'over', '13', ',', '000', 'feet', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['Mauna', 'Kea', 'is', 'also', 'a', 'sacred', 'site', 'to', 'the', 'native', 'Hawaiian', 'people', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['One', 'of', 'the', 'characters', 'in', 'the', 'popular', 'game', 'Pik', 'Pobeda', 'Adventures', 'is', 'named', 'Pik', 'Pobeda', ',', 'a', 'brave', 'warrior', 'who', 'embarks', 'on', 'exciting', 'quests', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['Fans', 'of', 'the', 'game', 'often', 'refer', 'to', 'Pik', 'Pobeda', 'as', 'their', 'favorite', 'character', 'due', 'to', 'his', 'fearless', 'attitude', 'and', 'impressive', 'combat', 'skills', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['Volcan', 'Chimborazo', 'is', 'the', 'highest', 'peak', 'in', 'Ecuador', ',', 'reaching', 'an', 'elevation', 'of', 'over', '20', ',', '500', 'feet', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"['Climbing', 'Volcan', 'Chimborazo', 'is', 'a', 'popular', 'challenge', 'for', 'experienced', 'mountaineers', 'due', 'to', 'its', 'technical', 'terrain', 'and', 'extreme', 'weather', 'conditions', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['Bogda', 'Feng', 'is', 'an', 'experienced', 'software', 'developer', 'known', 'for', 'their', 'innovative', 'solutions', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['I', 'recommend', 'reaching', 'out', 'to', 'Bogda', 'Feng', 'for', 'expert', 'advice', 'on', 'your', 'coding', 'project', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['Namcha', 'Barwa', 'is', 'a', 'majestic', 'mountain', 'peak', 'located', 'in', 'the', 'eastern', 'Himalayas', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['Mount', 'Kinabalu', 'in', 'Sabah', ',', 'Malaysia', ',', 'is', 'known', 'for', 'its', 'stunning', 'natural', 'beauty', 'and', 'challenging', 'hiking', 'trails', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,"['Many', 'adventure', 'enthusiasts', 'from', 'around', 'the', 'world', 'dream', 'of', 'conquering', 'the', 'majestic', 'peak', 'of', 'Mount', 'Kinabalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
36,"['Mount', 'Rainier', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'state', 'of', 'Washington', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['Many', 'hikers', 'and', 'outdoor', 'enthusiasts', 'are', 'drawn', 'to', 'Mount', 'Rainier', 'National', 'Park', 'to', 'explore', 'its', 'beauty', 'and', 'diverse', 'terrain', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['K2', ',', 'also', 'known', 'as', 'Mount', 'Godwin-Austen', ',', 'is', 'the', 'second-highest', 'mountain', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,"['Ras', 'Dashen', 'is', 'the', 'highest', 'peak', 'in', 'Ethiopia', ',', 'standing', 'at', 'an', 'elevation', 'of', '4', ',', '550', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"['Many', 'adventurers', 'and', 'hikers', 'are', 'drawn', 'to', 'Ras', 'Dashen', 'for', 'its', 'challenging', 'trails', 'and', 'breathtaking', 'views', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,"['Volcan', 'Tajumulco', 'is', 'the', 'highest', 'peak', 'in', 'Guatemala', ',', 'standing', 'at', 'an', 'impressive', '4', ',', '220', 'meters', 'above', 'sea', 'level', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['Many', 'adventurous', 'hikers', 'are', 'drawn', 'to', 'the', 'challenge', 'of', 'climbing', 'Volcan', 'Tajumulco', 'for', 'its', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'landscape', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,"['Pico', 'Bolívar', 'is', 'the', 'highest', 'mountain', 'in', 'Venezuela', ',', 'standing', 'at', 'an', 'elevation', 'of', '4', ',', '978', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['Many', 'travelers', 'enjoy', 'hiking', 'and', 'climbing', 'Pico', 'Bolívar', 'for', 'its', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'landscape', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,"['Mount', 'Fairweather', 'is', 'a', 'majestic', 'peak', 'located', 'on', 'the', 'border', 'between', 'Alaska', 'and', 'British', 'Columbia', 'in', 'North', 'America', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['Standing', 'at', 'over', '15', ',', '000', 'feet', 'tall', ',', 'Mount', 'Fairweather', 'is', 'known', 'for', 'its', 'rugged', 'beauty', 'and', 'challenging', 'climbing', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,"['Yushan', 'is', 'the', 'highest', 'mountain', 'in', 'Taiwan', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['Many', 'outdoor', 'enthusiasts', 'enjoy', 'hiking', 'to', 'the', 'summit', 'of', 'Yushan', 'for', 'its', 'breathtaking', 'views', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
49,"['Mount', 'Stanley', 'is', 'the', 'highest', 'mountain', 'in', 'both', 'the', 'Democratic', 'Republic', 'of', 'the', 'Congo', 'and', 'Uganda', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"['Kangchenjunga', 'is', 'the', 'third', 'highest', 'mountain', 'in', 'the', 'world', ',', 'located', 'in', 'the', 'Great', 'Himalayas', 'of', 'Nepal', 'and', 'India', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,"['Climbing', 'Kangchenjunga', 'is', 'considered', 'one', 'of', 'the', 'most', 'difficult', 'and', 'challenging', 'mountaineering', 'feats', 'due', 'to', 'its', 'height', 'and', 'technical', 'challenges', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
52,"['Tirich', 'Mir', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'Hindu', 'Kush', 'range', ',', 'standing', 'at', 'an', 'elevation', 'of', '7', ',', '708', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
53,"['Many', 'adventurers', 'seek', 'to', 'conquer', 'the', 'summit', 'of', 'Tirich', 'Mir', 'for', 'its', 'challenging', 'yet', 'breathtaking', 'terrain', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
54,"['Mount', 'Cameroon', 'is', 'an', 'active', 'volcano', 'located', 'in', 'Southwest', 'Cameroon', ',', 'Africa', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,"['Standing', 'at', '13', ',', '435', 'feet', 'tall', ',', 'Mount', 'Cameroon', 'is', 'the', 'highest', 'peak', 'in', 'the', 'country', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['Mount', 'Kenya', 'is', 'the', 'highest', 'mountain', 'in', 'Kenya', ',', 'reaching', 'an', 'elevation', 'of', '5', ',', '199', 'meters', '17', ',', '057', 'feet', 'above', 'sea', 'level', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
57,"['Climbing', 'Mount', 'Kenya', 'is', 'a', 'popular', 'outdoor', 'activity', 'for', 'adventure', 'enthusiasts', 'and', 'nature', 'lovers', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['Gunung', 'Kerinci', 'is', 'the', 'highest', 'mountain', 'in', 'Indonesia', ',', 'standing', 'at', 'an', 'elevation', 'of', '3', ',', '805', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,"['Climbing', 'Gunung', 'Kerinci', 'is', 'a', 'popular', 'activity', 'for', 'outdoor', 'enthusiasts', 'seeking', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'landscapes', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['Mount', 'Erebus', 'is', 'an', 'active', 'volcano', 'located', 'on', 'Ross', 'Island', 'in', 'Antarctica', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
61,"['Mount', 'Fuji', ',', 'known', 'as', 'Fuji-san', 'in', 'Japanese', ',', 'is', 'an', 'iconic', 'symbol', 'of', ""Japan's"", 'natural', 'beauty', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,"['Jebel', 'Toubkal', 'is', 'the', 'highest', 'peak', 'in', 'the', 'Atlas', 'Mountains', 'of', 'Morocco', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
63,"['Climbing', 'Jebel', 'Toubkal', 'is', 'a', 'popular', 'activity', 'for', 'trekkers', 'and', 'mountaineers', 'seeking', 'a', 'challenging', 'adventure', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
64,"['Cerro', 'Chirripo', 'is', 'the', 'highest', 'mountain', 'in', 'Costa', 'Rica', ',', 'standing', 'at', 'an', 'impressive', '3', ',', '820', 'meters', 'tall', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
65,"['Many', 'adventurous', 'hikers', 'tackle', 'the', 'challenging', 'trek', 'to', 'the', 'summit', 'of', 'Cerro', 'Chirripo', 'for', 'its', 'breathtaking', 'views', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
66,"['At', '3', ',', '726', 'meters', '12', ',', '224', 'feet', 'tall', ',', 'Gunung', 'Rinjani', 'is', 'the', 'second-highest', 'volcano', 'in', 'Indonesia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
67,"['Mount', 'Cook', ',', 'also', 'known', 'as', 'Aoraki', 'in', 'Maori', ',', 'is', 'the', 'highest', 'mountain', 'in', 'New', 'Zealand', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
68,"['Many', 'climbers', 'from', 'around', 'the', 'world', 'attempt', 'to', 'summit', 'Mount', 'Cook', 'each', 'year', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
69,"['Pico', 'de', 'Teide', 'is', 'the', 'highest', 'peak', 'in', 'Spain', ',', 'located', 'on', 'the', 'island', 'of', 'Tenerife', 'in', 'the', 'Canary', 'Islands', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
70,"['The', 'stunning', 'views', 'from', 'Pico', 'de', 'Teide', 'attract', 'visitors', 'from', 'around', 'the', 'world', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
71,"['Mount', 'Boising', 'is', 'a', 'stunning', 'peak', 'located', 'in', 'the', 'coastal', 'range', 'of', 'Papua', 'New', 'Guinea', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
72,"['The', 'lush', 'vegetation', 'surrounding', 'Mount', 'Boising', 'makes', 'it', 'a', 'popular', 'destination', 'for', 'hikers', 'and', 'nature', 'enthusiasts', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
73,"['Cerro', 'San', 'Valentín', 'is', 'the', 'highest', 'peak', 'in', 'the', 'Patagonian', 'Andes', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
74,"['Many', 'hikers', 'visit', 'Cerro', 'San', 'Valentín', 'for', 'its', 'stunning', 'views', 'and', 'challenging', 'terrain', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
75,"['Gunnbjørn', 'Fjeld', 'is', 'the', 'highest', 'mountain', 'in', 'Greenland', ',', 'standing', 'at', '3', ',', '694', 'meters', 'tall', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
76,"['Ojos', 'del', 'Salado', 'is', 'the', 'highest', 'volcano', 'in', 'the', 'world', ',', 'located', 'on', 'the', 'border', 'between', 'Chile', 'and', 'Argentina', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
77,"['Climbing', 'Ojos', 'del', 'Salado', 'is', 'a', 'challenging', 'but', 'rewarding', 'experience', 'for', 'adventurers', 'seeking', 'to', 'conquer', 'its', 'summit', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
78,"['Gunung', 'Semeru', ',', 'also', 'known', 'as', 'Mount', 'Semeru', ',', 'is', 'the', 'highest', 'volcano', 'on', 'the', 'island', 'of', 'Java', ',', 'Indonesia', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
